89250	2019/03/31 19:18	0	40
89251	2019/03/31 19:33	0	40
89252	2019/03/31 19:48	0	40
89253	2019/03/31 20:03	0	40
89254	2019/03/31 20:18	0	40
89255	2019/03/31 20:33	0	40
89256	2019/03/31 20:48	0	40
89257	2019/03/31 21:03	0	40
89258	2019/03/31 21:18	0	40
89259	2019/03/31 21:33	0	40
89260	2019/03/31 21:48	0	40
89261	2019/03/31 22:03	0	48
89262	2019/03/31 22:18	0	60
89263	2019/03/31 22:33	0	70
89264	2019/03/31 22:48	0	71
89265	2019/03/31 23:03	0	71
89266	2019/03/31 23:18	0	68
89267	2019/03/31 23:33	0	63
89268	2019/03/31 23:48	0	59
89269	2019/04/01 00:03	0	57
89270	2019/04/01 00:18	0	53
89271	2019/04/01 00:33	0	47
89272	2019/04/01 00:48	0	41
89273	2019/04/01 01:03	0	40
89274	2019/04/01 01:18	0	40
89275	2019/04/01 01:33	0	40
89276	2019/04/01 01:48	0	40
89277	2019/04/01 02:03	0	40
89278	2019/04/01 02:18	0	40
89279	2019/04/01 02:33	0	40
89280	2019/04/01 02:48	0	40
89281	2019/04/01 03:03	0	40
89282	2019/04/01 03:18	0	40
89283	2019/04/01 03:33	0	40
89284	2019/04/01 03:48	0	40
89285	2019/04/01 04:03	0	40
89286	2019/04/01 04:18	0	40
89287	2019/04/01 04:33	0	40
89288	2019/04/01 04:48	0	40
89289	2019/04/01 05:03	0	40
89290	2019/04/01 05:18	0	40
89291	2019/04/01 05:33	0	40
89292	2019/04/01 05:48	0	40
89293	2019/04/01 06:03	0	40
89294	2019/04/01 06:18	0	40
89295	2019/04/01 06:33	0	40
89296	2019/04/01 06:48	0	40
89297	2019/04/01 07:03	0	42
89298	2019/04/01 07:18	0	44
89299	2019/04/01 07:33	0	41
89300	2019/04/01 07:48	0	40
89301	2019/04/01 08:03	0	40
89311	2019/04/01 10:33	0	48
89312	2019/04/01 10:48	0	64
89313	2019/04/01 11:03	0	72
89314	2019/04/01 11:18	0	63
89315	2019/04/01 11:33	0	58
89316	2019/04/01 11:48	0	57
89317	2019/04/01 12:03	0	57
89318	2019/04/01 12:18	0	61
89319	2019/04/01 12:33	0	72
89320	2019/04/01 12:48	0	79
89321	2019/04/01 13:03	0	74
89322	2019/04/01 13:18	0	59
89323	2019/04/01 13:33	0	47
89324	2019/04/01 13:48	0	40
89325	2019/04/01 14:03	0	41
89326	2019/04/01 14:18	0	56
89327	2019/04/01 14:33	0	68
